obs,tipo,fecha,track,comercial,descarte,total,year,viaje,lance,mes,dia
SB,Pesca de Merluza,2015-01-28T00:00:00Z,NA,7785,1000,8785,2015,NA,NA,1,28
SB,Pesca de Merluza,2015-01-29T00:00:00Z,NA,8390,500,8890,2015,NA,NA,1,29
SB,Pesca de Merluza,2015-01-29T00:00:00Z,NA,1000,100,1100,2015,NA,NA,1,29
SB,Pesca de Merluza,2015-01-30T00:00:00Z,NA,519,235.6067506027324,754.6067506027324,2015,NA,NA,1,30
SB,Pesca de Merluza,2015-01-30T00:00:00Z,NA,3700,NA,3700,2015,NA,NA,1,30
SB,Pesca de Merluza,2015-01-31T00:00:00Z,NA,3500,NA,3500,2015,NA,NA,1,31
DC,Pesca de Merluza,2015-01-25T00:00:00Z,NA,15000,600,15600,2015,NA,NA,1,25
DC,Pesca de Merluza,2015-01-26T00:00:00Z,NA,7000,NA,7000,2015,NA,NA,1,26
AL,Pesca de Merluza,2015-01-26T00:00:00Z,26012015/AL/2,800,150,950,2015,NA,NA,1,26
AL,Pesca de Merluza,2015-01-26T00:00:00Z,26012015/AL/3,400,255,655,2015,NA,NA,1,26
AL,Pesca de Merluza,2015-01-27T00:00:00Z,27012015/AL/1,250,120,370,2015,NA,NA,1,27
RR,Pesca de Merluza,2015-01-26T00:00:00Z,26012015/rr/02,9000,NA,9000,2015,NA,NA,1,26
RR,Pesca de Merluza,2015-01-27T00:00:00Z,27012015/rr/01,5000,NA,5000,2015,NA,NA,1,27
AL,Pesca de Merluza,2015-02-04T00:00:00Z,04022015/AL/1,12000,700,12700,2015,NA,NA,2,4
AL,Pesca de Merluza,2015-02-04T00:00:00Z,04022015/AL/2,2500,2500,5000,2015,NA,NA,2,4
AL,Pesca de Merluza,2015-02-05T00:00:00Z,05022015/AL/3,2500,100,2600,2015,NA,NA,2,5
AL,Pesca de Merluza,2015-02-05T00:00:00Z,05022015/AL/4,4000,270,4270,2015,NA,NA,2,5
AL,Pesca de Merluza,2015-02-05T00:00:00Z,05022015/AL/5,3000,250,3250,2015,NA,NA,2,5
AL,Pesca de Merluza,2015-02-06T00:00:00Z,06022015/AL/6,3500,200,3700,2015,NA,NA,2,6
AL,Pesca de Merluza,2015-02-06T00:00:00Z,06022015/AL/7,2000,150,2150,2015,NA,NA,2,6
DC,Pesca de Merluza,2015-01-30T00:00:00Z,NA,7500,NA,7500,2015,NA,NA,1,30
DC,Pesca de Merluza,2015-01-30T00:00:00Z,NA,7000,50,7050,2015,NA,NA,1,30
DC,Pesca de Merluza,2015-01-30T00:00:00Z,NA,400,NA,400,2015,NA,NA,1,30
DC,Pesca de Merluza,2015-01-31T00:00:00Z,NA,13100,NA,13100,2015,NA,NA,1,31
DC,Pesca de Merluza,2015-01-31T00:00:00Z,NA,8000,30,8030,2015,NA,NA,1,31
RR,Pesca de Merluza,2015-01-26T00:00:00Z,26012015/rr/02,9000,NA,9000,2015,NA,NA,1,26
RR,Pesca de Merluza,2015-01-27T00:00:00Z,27012015/rr/01,5000,NA,5000,2015,NA,NA,1,27
RR,Pesca de Merluza,2015-02-11T00:00:00Z,11022015/RR/01,1050,NA,1050,2015,NA,NA,2,11
RR,Pesca de Merluza,2015-02-11T00:00:00Z,11022015/RR/02,140,NA,140,2015,NA,NA,2,11
RR,Pesca de Merluza,2015-02-13T00:00:00Z,13022015/RR/03,770,80,850,2015,NA,NA,2,13
RR,Pesca de Merluza,2015-02-13T00:00:00Z,13022015/RR/04,1610,NA,1610,2015,NA,NA,2,13
RR,Pesca de Merluza,2015-02-13T00:00:00Z,13022015/RR/05,1820,NA,1820,2015,NA,NA,2,13
RR,Pesca de Merluza,2015-02-14T00:00:00Z,14022015/RR/06,770,NA,770,2015,NA,NA,2,14
RR,Pesca de Merluza,2015-02-14T00:00:00Z,14022015/RR/07,4130,NA,4130,2015,NA,NA,2,14
RR,Pesca de Merluza,2015-02-14T00:00:00Z,14022015/RR/08,3360,NA,3360,2015,NA,NA,2,14
RR,Pesca de Merluza,2015-02-15T00:00:00Z,15022015/RR/09,2100,NA,2100,2015,NA,NA,2,15
RR,Pesca de Merluza,2015-02-15T00:00:00Z,15022015/RR/10,1540,NA,1540,2015,NA,NA,2,15
RR,Pesca de Merluza,2015-02-15T00:00:00Z,15022015/RR/11,980,NA,980,2015,NA,NA,2,15
SB,Pesca de Merluza,2015-02-20T00:00:00Z,20022015-sb-05,90.63,28.1,118.72999999999999,2015,NA,NA,2,20
SB,Pesca de Merluza,2015-02-20T00:00:00Z,20022015-sb-06,2800,130,2930,2015,NA,NA,2,20
SB,Pesca de Merluza,2015-02-20T00:00:00Z,20022015-sb-07,1200,120,1320,2015,NA,NA,2,20
DC,Pesca de Merluza,2015-02-26T00:00:00Z,NA,950,NA,950,2015,NA,NA,2,26
DC,Pesca de Merluza,2015-02-26T00:00:00Z,NA,1400,80,1480,2015,NA,NA,2,26
DC,Pesca de Merluza,2015-02-26T00:00:00Z,NA,NA,NA,NA,2015,NA,NA,2,26
RR,Pesca de Merluza,2015-02-26T00:00:00Z,26022015/rr/01,100,50,NA,2015,NA,NA,2,26
RR,Pesca de Merluza,2015-02-26T00:00:00Z,26022015/rr/02,200,50,NA,2015,NA,NA,2,26
RR,Pesca de Merluza,2015-02-26T00:00:00Z,26022015/rr/03,400,100,NA,2015,NA,NA,2,26
DC,Pesca de Merluza,2015-03-04T00:00:00Z,NA,11600,100,11700,2015,NA,NA,3,4
DC,Pesca de Merluza,2015-03-04T00:00:00Z,NA,12000,250,12250,2015,NA,NA,3,4
DC,Pesca de Merluza,2015-03-04T00:00:00Z,NA,4500,NA,4500,2015,NA,NA,3,4
DC,Pesca de Merluza,2015-03-05T00:00:00Z,NA,4600,150,4750,2015,NA,NA,3,5
DC,Pesca de Merluza,2015-03-05T00:00:00Z,NA,4800,150,4950,2015,NA,NA,3,5
AL,Pesca de Merluza,2015-03-09T00:00:00Z,09032015/AL/1,50,100,150,2015,NA,NA,3,9
AL,Pesca de Merluza,2015-03-09T00:00:00Z,09032015/AL/2,20,50,70,2015,NA,NA,3,9
AL,Pesca de Merluza,2015-03-10T00:00:00Z,10032015/AL/3,300,150,450,2015,NA,NA,3,10
AL,Pesca de Merluza,2015-03-10T00:00:00Z,10032015/AL/4,200,80,280,2015,NA,NA,3,10
AL,Pesca de Merluza,2015-03-10T00:00:00Z,10032015/AL/5,50,30,80,2015,NA,NA,3,10
AL,Pesca de Merluza,2015-03-10T00:00:00Z,10032015/AL/6,30,10,40,2015,NA,NA,3,10
AL,Pesca de Merluza,2015-03-11T00:00:00Z,11032015/AL/7,50,25,75,2015,NA,NA,3,11
AL,Pesca de Merluza,2015-03-11T00:00:00Z,11032015/AL/8,250,30,280,2015,NA,NA,3,11
AL,Pesca de Merluza,2015-03-11T00:00:00Z,11032015/AL/9,25,15,40,2015,NA,NA,3,11
AL,Pesca de Merluza,2015-03-12T00:00:00Z,12032015/AL/10,250,40,290,2015,NA,NA,3,12
AL,Pesca de Merluza,2015-03-12T00:00:00Z,12032015/AL/11,NA,NA,NA,2015,NA,NA,3,12
AL,Pesca de Merluza,2015-03-12T00:00:00Z,12032015/AL/12,150,20,170,2015,NA,NA,3,12
SB,Pesca de Merluza,2015-03-07T00:00:00Z,07032015-SB-01,3370,150,3520,2015,NA,NA,3,7
SB,Pesca de Merluza,2015-03-07T00:00:00Z,07032015-sb-02,950,200,1150,2015,NA,NA,3,7
SB,Pesca de Merluza,2015-03-07T00:00:00Z,07032015-SB-03,2595,200,2795,2015,NA,NA,3,7
SB,Pesca de Merluza,2015-03-08T00:00:00Z,08032015-sb-04,520,50,570,2015,NA,NA,3,8
SB,Pesca de Merluza,2015-03-08T00:00:00Z,08032015-sb-05,1557,300,1857,2015,NA,NA,3,8
SB,Pesca de Merluza,2015-03-08T00:00:00Z,08032015-sb-06,430,150,580,2015,NA,NA,3,8
SB,Pesca de Merluza,2015-03-09T00:00:00Z,09032015-sb-07,605,200,805,2015,NA,NA,3,9
SB,Pesca de Merluza,2015-03-09T00:00:00Z,09032015-sb-08,2075,200,2275,2015,NA,NA,3,9
SB,Pesca de Merluza,2015-03-09T00:00:00Z,09032015-sb-09,2500,200,2700,2015,NA,NA,3,9
SB,Pesca de Merluza,2015-03-10T00:00:00Z,10032015-sb-10,1384,180,1564,2015,NA,NA,3,10
SB,Pesca de Merluza,2015-03-10T00:00:00Z,10032015-sb-11,950,100,1050,2015,NA,NA,3,10
SB,Pesca de Merluza,2015-03-10T00:00:00Z,10032015-sb-12,430,200,630,2015,NA,NA,3,10
SB,Pesca de Merluza,2015-03-11T00:00:00Z,11032015-sb-13,519,70,589,2015,NA,NA,3,11
SB,Pesca de Merluza,2015-03-11T00:00:00Z,11032015-sb-14,865,200,1065,2015,NA,NA,3,11
SB,Pesca de Merluza,2015-03-12T00:00:00Z,12032015-sb-15,1650,100,1750,2015,NA,NA,3,12
SB,Pesca de Merluza,2015-03-12T00:00:00Z,12032015-sb-16,2850,300,3150,2015,NA,NA,3,12
SB,Pesca de Merluza,2015-03-13T00:00:00Z,13032015-sb-17,1650,90,1740,2015,NA,NA,3,13
SB,Pesca de Merluza,2015-03-13T00:00:00Z,13032015-sb-18,1900,60,1960,2015,NA,NA,3,13
RR,Pesca de Merluza,2015-08-03T00:00:00Z,08032015/RR/01,50,50,NA,2015,NA,NA,8,3
RR,Pesca de Merluza,2015-08-03T00:00:00Z,08032015/RR/02,50,100,NA,2015,NA,NA,8,3
RR,Pesca de Merluza,2015-09-03T00:00:00Z,09032105/RR/03,150,50,NA,2015,NA,NA,9,3
RR,Pesca de Merluza,2015-09-03T00:00:00Z,09032015/RR/04,50,25,NA,2015,NA,NA,9,3
RR,Pesca de Merluza,2015-10-03T00:00:00Z,10032015/RR/05,100,25,NA,2015,NA,NA,10,3
RR,Pesca de Merluza,2015-10-03T00:00:00Z,10032015/RR/06,NA,4,NA,2015,NA,NA,10,3
RR,Pesca de Merluza,2015-11-03T00:00:00Z,11032015/RR/07,200,50,NA,2015,NA,NA,11,3
RR,Pesca de Merluza,2015-12-03T00:00:00Z,12032015/RR/08,250,100,NA,2015,NA,NA,12,3
RR,Pesca de Merluza,2015-12-03T00:00:00Z,12032015/RR/09,200,100,NA,2015,NA,NA,12,3
RR,Pesca de Merluza,2015-03-13T00:00:00Z,13032015/RR/10,650,100,NA,2015,NA,NA,3,13
RR,Pesca de Merluza,2015-03-13T00:00:00Z,13032015/RR/11,1250,100,NA,2015,NA,NA,3,13
RR,Pesca de Merluza,2015-03-15T00:00:00Z,15032015/RR/12,250,NA,NA,2015,NA,NA,3,15
RR,Pesca de Merluza,2015-03-15T00:00:00Z,15032015/RR/13,2000,200,NA,2015,NA,NA,3,15
RR,Pesca de Merluza,2015-03-16T00:00:00Z,16032015/RR/14,1850,NA,NA,2015,NA,NA,3,16
RR,Pesca de Merluza,2015-03-16T00:00:00Z,16032015/RR/15,150,50,NA,2015,NA,NA,3,16
RR,Pesca de Merluza,2015-03-16T00:00:00Z,16032015/RR/15,250,NA,NA,2015,NA,NA,3,16
SB,Pesca de Merluza,2015-03-17T00:00:00Z,17032015-sb-01,1038,60,1098,2015,NA,NA,3,17
SB,Pesca de Merluza,2015-03-17T00:00:00Z,17032015-sb-02,1557,70,1627,2015,NA,NA,3,17
SB,Pesca de Merluza,2015-03-18T00:00:00Z,18032015-sb-03,1645,25,1670,2015,NA,NA,3,18
SB,Pesca de Merluza,2015-03-18T00:00:00Z,18032015-sb-04,1384,30,1414,2015,NA,NA,3,18
SB,Pesca de Merluza,2015-03-19T00:00:00Z,19032015-sb-05,519,40,559,2015,NA,NA,3,19
SB,Pesca de Merluza,2015-03-19T00:00:00Z,19032015-sb-06,1557,50,1607,2015,NA,NA,3,19
SB,Pesca de Merluza,2015-03-20T00:00:00Z,20032015-sb-07,346,30,376,2015,NA,NA,3,20
SB,Pesca de Merluza,2015-03-20T00:00:00Z,20032015-sb-08,1300,50,1350,2015,NA,NA,3,20
SB,Pesca de Merluza,2015-03-21T00:00:00Z,21032015-sb-09,865,40,905,2015,NA,NA,3,21
SB,Pesca de Merluza,2015-03-21T00:00:00Z,21032015-sb-10,432,50,482,2015,NA,NA,3,21
SB,Pesca de Merluza,2015-03-22T00:00:00Z,22032015-sb-11,2250,100,2350,2015,NA,NA,3,22
SB,Pesca de Merluza,2015-03-22T00:00:00Z,22032015-sb-12,432,50,482,2015,NA,NA,3,22
SB,Pesca de Merluza,2015-03-22T00:00:00Z,22032015-sb-13,346,10,356,2015,NA,NA,3,22
SB,Pesca de Merluza,2015-03-23T00:00:00Z,23032015-sb-14,390,60,450,2015,NA,NA,3,23
SB,Pesca de Merluza,2015-03-23T00:00:00Z,23032015-SB-15,1470,150,1620,2015,NA,NA,3,23
SB,Pesca de Merluza,2015-03-24T00:00:00Z,24032015-sb-16,390,100,490,2015,NA,NA,3,24
SB,Pesca de Merluza,2015-03-24T00:00:00Z,24032015-sb-17,1600,120,1720,2015,NA,NA,3,24
DC,Pesca de Merluza,2015-03-17T00:00:00Z,NA,1500,50,1550,2015,NA,NA,3,17
DC,Pesca de Merluza,2015-03-17T00:00:00Z,NA,2500,50,2550,2015,NA,NA,3,17
DC,Pesca de Merluza,2015-03-17T00:00:00Z,NA,800,50,850,2015,NA,NA,3,17
DC,Pesca de Merluza,2015-03-18T00:00:00Z,NA,800,50,850,2015,NA,NA,3,18
DC,Pesca de Merluza,2015-03-18T00:00:00Z,NA,700,50,750,2015,NA,NA,3,18
DC,Pesca de Merluza,2015-03-18T00:00:00Z,NA,300,15,315,2015,NA,NA,3,18
DC,Pesca de Merluza,2015-03-19T00:00:00Z,NA,300,50,350,2015,NA,NA,3,19
DC,Pesca de Merluza,2015-03-19T00:00:00Z,NA,3600,600,4200,2015,NA,NA,3,19
DC,Pesca de Merluza,2015-03-20T00:00:00Z,NA,350,180,530,2015,NA,NA,3,20
DC,Pesca de Merluza,2015-03-20T00:00:00Z,NA,600,250,850,2015,NA,NA,3,20
DC,Pesca de Merluza,2015-03-20T00:00:00Z,NA,500,100,600,2015,NA,NA,3,20
DC,Pesca de Merluza,2015-03-21T00:00:00Z,NA,600,300,900,2015,NA,NA,3,21
DC,Pesca de Merluza,2015-03-21T00:00:00Z,NA,400,120,520,2015,NA,NA,3,21
DC,Pesca de Merluza,2015-03-21T00:00:00Z,NA,700,200,900,2015,NA,NA,3,21
DC,Pesca de Merluza,2015-03-22T00:00:00Z,NA,415,150,565,2015,NA,NA,3,22
DC,Pesca de Merluza,2015-03-22T00:00:00Z,NA,500,150,650,2015,NA,NA,3,22
DC,Pesca de Merluza,2015-03-23T00:00:00Z,NA,650,50,700,2015,NA,NA,3,23
DC,Pesca de Merluza,2015-03-23T00:00:00Z,NA,750,25,775,2015,NA,NA,3,23
DC,Pesca de Merluza,2015-03-24T00:00:00Z,NA,250,25,275,2015,NA,NA,3,24
RM,Pesca de Merluza,2016-02-10T00:00:00Z,10022016/RM/01,300,40,340,2016,NA,NA,2,10
RM,Pesca de Merluza,2016-02-10T00:00:00Z,10022016/RM/02,1680,150,1830,2016,NA,NA,2,10
RM,Pesca de Merluza,2016-02-11T00:00:00Z,11022016/RM/03,2820,180,3000,2016,NA,NA,2,11
RM,Pesca de Merluza,2016-02-11T00:00:00Z,11022016/RM/04,960,60,1020,2016,NA,NA,2,11
RM,Pesca de Merluza,2016-02-12T00:00:00Z,12022016/RM/05,3420,180,3600,2016,NA,NA,2,12
RM,Pesca de Merluza,2016-02-12T00:00:00Z,12022016/RM/06,3000,100,3100,2016,NA,NA,2,12
RM,Pesca de Merluza,2016-02-13T00:00:00Z,13022016/RM/07,2000,80,2080,2016,NA,NA,2,13
RM,Pesca de Merluza,2016-02-14T00:00:00Z,14022016/RM/08,3600,57,3657,2016,NA,NA,2,14
RM,Pesca de Merluza,2016-02-14T00:00:00Z,14022016/RM/09,600,30,630,2016,NA,NA,2,14
RM,Pesca de Merluza,2016-02-17T00:00:00Z,17022016/RM/01,1200,25,1225,2016,NA,NA,2,17
RM,Pesca de Merluza,2016-02-17T00:00:00Z,17022016/RM/02,1500,30,1530,2016,NA,NA,2,17
RM,Pesca de Merluza,2016-02-18T00:00:00Z,18022016/RM/03,1000,60,1060,2016,NA,NA,2,18
RM,Pesca de Merluza,2016-02-18T00:00:00Z,18022016/RM/04,3600,260,3860,2016,NA,NA,2,18
RM,Pesca de Merluza,2016-02-19T00:00:00Z,19022016/RM/05,1250,60,1310,2016,NA,NA,2,19
RM,Pesca de Merluza,2016-02-19T00:00:00Z,19022016/RM/06,1400,70,1470,2016,NA,NA,2,19
RM,Pesca de Merluza,2016-02-20T00:00:00Z,20022016/RM/07,600,20,620,2016,NA,NA,2,20
RM,Pesca de Merluza,2016-02-20T00:00:00Z,20022016/RM/08,2400,160,2560,2016,NA,NA,2,20
RM,Pesca de Merluza,2016-02-21T00:00:00Z,21022016/RM/09,240,15,255,2016,NA,NA,2,21
RM,Pesca de Merluza,2016-02-21T00:00:00Z,21022016/RM/10,200,25,225,2016,NA,NA,2,21
RM,Pesca de Merluza,2016-02-25T00:00:00Z,25022016/RM/01,180,6,186,2016,NA,NA,2,25
RM,Pesca de Merluza,2016-02-25T00:00:00Z,25022016/RM/02,900,33,933,2016,NA,NA,2,25
RM,Pesca de Merluza,2016-02-26T00:00:00Z,26022016/RM/03,180,15,195,2016,NA,NA,2,26
RM,Pesca de Merluza,2016-02-26T00:00:00Z,26022016/RM/04,910,90,1000,2016,NA,NA,2,26
RM,Pesca de Merluza,2016-02-28T00:00:00Z,28022016/RM/05,120,20,140,2016,NA,NA,2,28
RM,Pesca de Merluza,2016-02-28T00:00:00Z,28022016/RM/06,520,42,562,2016,NA,NA,2,28
RM,Pesca de Escama,2016-03-10T00:00:00Z,10032016/RM/01,250,90,340,2016,NA,NA,3,10
RM,Pesca de Escama,2016-03-10T00:00:00Z,10032016/RM/02,240,100,340,2016,NA,NA,3,10
OZ,Pesca de Merluza,2016-02-10T00:00:00Z,10022016/OZ/01/01,340,NA,340,2016,NA,NA,2,10
OZ,Pesca de Merluza,2016-02-10T00:00:00Z,10022016/OZ/01/02,120,10,130,2016,NA,NA,2,10
OZ,Pesca de Merluza,2016-02-10T00:00:00Z,10022016/OZ/01/03,710,NA,710,2016,NA,NA,2,10
OZ,Pesca de Merluza,2016-02-11T00:00:00Z,11022016/OZ/01/04,3500,25,3525,2016,NA,NA,2,11
OZ,Pesca de Merluza,2016-02-11T00:00:00Z,11022016/OZ/01/05,6090,20,6110,2016,NA,NA,2,11
OZ,Pesca de Merluza,2016-02-11T00:00:00Z,11022016/OZ/01/06,1690,10,1700,2016,NA,NA,2,11
OZ,Pesca de Merluza,2016-02-12T00:00:00Z,12022016/OZ/01/07,1050,0,1050,2016,NA,NA,2,12
OZ,Pesca de Merluza,2016-02-12T00:00:00Z,12022016/OZ/01/08,3080,50,3130,2016,NA,NA,2,12
OZ,Pesca de Merluza,2016-02-12T00:00:00Z,12022016/OZ/01/09,770,5,775,2016,NA,NA,2,12
OZ,Pesca de Merluza,2016-02-13T00:00:00Z,13022016/OZ/01/10,840,2,842,2016,NA,NA,2,13
OZ,Pesca de Merluza,2016-02-13T00:00:00Z,13022016/OZ/01/11,2170,3,2173,2016,NA,NA,2,13
OZ,Pesca de Merluza,2016-02-13T00:00:00Z,13022016/OZ/01/12,630,5,635,2016,NA,NA,2,13
OZ,Pesca de Merluza,2016-02-21T00:00:00Z,21022016/OZ/02/02,490,5,495,2016,NA,NA,2,21
OZ,Pesca de Merluza,2016-02-21T00:00:00Z,21022016/OZ/02/03,600,NA,600,2016,NA,NA,2,21
OZ,Pesca de Merluza,2016-02-22T00:00:00Z,22022016/OZ/02/04,420,5,425,2016,NA,NA,2,22
OZ,Pesca de Merluza,2016-02-22T00:00:00Z,22022016/OZ/02/05,360,NA,360,2016,NA,NA,2,22
OZ,Pesca de Merluza,2016-02-22T00:00:00Z,22022016/OZ/02/06,3500,0,3500,2016,NA,NA,2,22
OZ,Pesca de Merluza,2016-02-23T00:00:00Z,23022016/OZ/02/07,170,5,175,2016,NA,NA,2,23
OZ,Pesca de Merluza,2016-02-23T00:00:00Z,23022016/OZ/02/08,2250,10,2260,2016,NA,NA,2,23
OZ,Pesca de Merluza,2016-02-23T00:00:00Z,23022016/OZ/02/09,5200,148,5348,2016,NA,NA,2,23
OZ,Pesca de Merluza,2016-02-25T00:00:00Z,23022016/OZ/02/10,1470,3,1473,2016,NA,NA,2,25
OZ,Pesca de Merluza,2016-02-25T00:00:00Z,25022016/OZ/02/11,4760,10,4770,2016,NA,NA,2,25
OZ,Pesca de Merluza,2016-02-25T00:00:00Z,25022016/OZ/02/12,4200,50,4250,2016,NA,NA,2,25
OZ,Pesca de Merluza,2016-03-06T00:00:00Z,06032016/OZ/03/01,240,3,243,2016,NA,NA,3,6
OZ,Pesca de Merluza,2016-03-06T00:00:00Z,06032016/OZ/03/02,140,2,142,2016,NA,NA,3,6
OZ,Pesca de Merluza,2016-03-13T00:00:00Z,06032016/OZ/03/17,280,10,290,2016,NA,NA,3,13
JV,Pesca de merluza,2016-02-11T00:00:00Z,11022016/JV/01/01,360,8.712,368.712,2016,NA,NA,2,11
JV,Pesca de merluza,2016-02-11T00:00:00Z,11022016/JV/01/02,715,14,729,2016,NA,NA,2,11
JV,Pesca de merluza,2016-02-12T00:00:00Z,12022016/JV/01/03,1860,20,1880,2016,NA,NA,2,12
JV,Pesca de merluza,2016-02-12T00:00:00Z,12022016/JV/01/04,2820,103,2923,2016,NA,NA,2,12
JV,Pesca de merluza,2016-02-13T00:00:00Z,13022016/JV/01/06,1080,22,1102,2016,NA,NA,2,13
JV,Pesca de merluza,2016-02-13T00:00:00Z,13022016/JV/01/07,500,28,528,2016,NA,NA,2,13
JV,Pesca de merluza,2016-02-14T00:00:00Z,14022016/JV/01/08,1100,6,1106,2016,NA,NA,2,14
JV,Pesca de merluza,2016-02-14T00:00:00Z,14022016/JV/01/09,605,30,635,2016,NA,NA,2,14
JV,Pesca de merluza,2016-02-15T00:00:00Z,15022016/JV/01/10,1800,60,1860,2016,NA,NA,2,15
JV,Pesca de merluza,2016-02-15T00:00:00Z,15022016/JV/01/11,240,40,280,2016,NA,NA,2,15
JV,Pesca de merluza,2016-02-15T00:00:00Z,15022016/JV/01/12,780,30,810,2016,NA,NA,2,15
JV,Pesca de merluza,2016-02-16T00:00:00Z,16022016/JV/01/13,1020,29,1049,2016,NA,NA,2,16
JV,Pesca de merluza,2016-02-16T00:00:00Z,16022016/JV/01/14,2220,800,3020,2016,NA,NA,2,16
JV,Pesca de merluza,2016-02-16T00:00:00Z,16022016/JV/01/15,1020,35,1055,2016,NA,NA,2,16
JV,Pesca de merluza,2016-02-17T00:00:00Z,17022016/JV/01/16,0,0,0,2016,NA,NA,2,17
JV,Pesca de merluza,2016-02-17T00:00:00Z,17022016/JV/01/17,2100,46,2146,2016,NA,NA,2,17
JV,Pesca de merluza,2016-02-17T00:00:00Z,17022016/JV/01/18,780,50,830,2016,NA,NA,2,17
JV,Pesca de merluza,2016-02-25T00:00:00Z,25022016/JV/02/01,510,15,525,2016,NA,NA,2,25
JV,Pesca de merluza,2016-02-25T00:00:00Z,25022016/JV/02/02,3600,50,3650,2016,NA,NA,2,25
JV,Pesca de merluza,2016-02-26T00:00:00Z,26022016/JV/02/03,720,20,740,2016,NA,NA,2,26
JV,Pesca de merluza,2016-02-26T00:00:00Z,26022016/JV/02/04,750,24,774,2016,NA,NA,2,26
JV,Pesca de merluza,2016-02-27T00:00:00Z,27022016/JV/02/05,120,6,126,2016,NA,NA,2,27
JV,Pesca de merluza,2016-02-27T00:00:00Z,27022016/JV/02/06,60,6.5,66.5,2016,NA,NA,2,27
JV,Pesca de merluza,2016-03-28T00:00:00Z,28022016/JV/02/07,70,5,75,2016,NA,NA,3,28
JV,Pesca de merluza,2016-03-28T00:00:00Z,28022016/JV/02/08,4,1,5,2016,NA,NA,3,28
JV,Pesca de escama,2016-03-28T00:00:00Z,28022016/JV/02/09,3,0,3,2016,NA,NA,3,28
DL,Pesca de Merluza,2016-02-10T00:00:00Z,10022016/DL/01/01,140,60,200,2016,NA,NA,2,10
DL,Pesca de Merluza,2016-02-10T00:00:00Z,10022016/DL/01/02,300,200,500,2016,NA,NA,2,10
DL,Pesca de Merluza,2016-02-10T00:00:00Z,10022016/DL/01/03,250,100,350,2016,NA,NA,2,10
DL,Pesca de Merluza,2016-02-14T00:00:00Z,14022016/DL/02/01,100,5,105,2016,NA,NA,2,14
DL,Pesca de Merluza,2016-02-14T00:00:00Z,14022016/DL/02/02,2950,550,3500,2016,NA,NA,2,14
DL,Pesca de Merluza,2016-02-15T00:00:00Z,15022016/DL/02/03,3100,400,3500,2016,NA,NA,2,15
DL,Pesca de Merluza,2016-02-18T00:00:00Z,18022016/DL/03/01,800,20,820,2016,NA,NA,2,18
DL,Pesca de Merluza,2016-02-18T00:00:00Z,18022016/DL/03/02,4000,2500,6500,2016,NA,NA,2,18
DL,Pesca de Merluza,2016-02-19T00:00:00Z,19022016/DL/03/03,2200,1400,3600,2016,NA,NA,2,19
DL,Pesca de Merluza,2016-02-19T00:00:00Z,19022016/DL/03/04,2700,300,3000,2016,NA,NA,2,19
DL,Pesca de Merluza,2016-02-20T00:00:00Z,20022016/DL/03/05,715,285,1000,2016,NA,NA,2,20
DL,Pesca de Merluza,2016-02-20T00:00:00Z,20022016/DL/03/06,1920,820,2740,2016,NA,NA,2,20
DL,Pesca de Merluza,2016-02-21T00:00:00Z,21022016/DL/03/07,130,30,160,2016,NA,NA,2,21
DL,Pesca de Merluza,2016-02-21T00:00:00Z,21022016/DL/03/08,65,55,120,2016,NA,NA,2,21
DL,Pesca de Merluza,2016-02-27T00:00:00Z,27022016/DL/04/01,650,30,680,2016,NA,NA,2,27
DL,Pesca de Merluza,2016-02-28T00:00:00Z,28022016/DL/04/02,180,5,185,2016,NA,NA,2,28
DL,Pesca de Merluza,2016-02-28T00:00:00Z,28022016/DL/04/03,190,5,195,2016,NA,NA,2,28
DL,Pesca de Merluza,2016-02-28T00:00:00Z,28022016/DL/04/04,150,100,250,2016,NA,NA,2,28
DL,Pesca de Merluza,2016-02-29T00:00:00Z,29022016/DL/04/05,480,150,630,2016,NA,NA,2,29
DL,Pesca de Merluza,2016-02-29T00:00:00Z,29022016/DL/04/06,900,190,1090,2016,NA,NA,2,29
DL,Pesca de Merluza,2016-03-01T00:00:00Z,01032016/DL/04/07,180,50,230,2016,NA,NA,3,1
DL,Pesca de Merluza,2016-03-01T00:00:00Z,01032016/DL/04/08,80,2,82,2016,NA,NA,3,1
DL,Pesca de Merluza,2016-03-10T00:00:00Z,10032016/DL/05/01,40,10,50,2016,NA,NA,3,10
DL,Pesca de Merluza,2016-03-10T00:00:00Z,10032016/DL/05/02,30,5,35,2016,NA,NA,3,10
DL,Pesca de Merluza,2016-03-10T00:00:00Z,10032016/DL/05/03,35,0,35,2016,NA,NA,3,10
DL,Pesca de Merluza,2016-03-11T00:00:00Z,11032016/DL/05/04,345,230,575,2016,NA,NA,3,11
DL,Pesca de Merluza,2016-03-11T00:00:00Z,11032016/DL/05/05,130,10,140,2016,NA,NA,3,11
DL,Pesca de Merluza,2016-03-12T00:00:00Z,12032016/DL/05/06,0,0,0,2016,NA,NA,3,12
DL,Pesca de Merluza,2016-03-12T00:00:00Z,12032016/DL/05/07,80,50,130,2016,NA,NA,3,12
DL,Pesca de Merluza,2016-03-12T00:00:00Z,12032016/DL/05/08,110,60,170,2016,NA,NA,3,12
DL,Pesca de Merluza,2016-03-12T00:00:00Z,12032016/DL/05/09,230,70,300,2016,NA,NA,3,12
